date,daily_return
2010-05-07,0.012397170805489507
2010-05-10,0.02477765415559534
2010-05-11,0.023734845115786444
2010-05-12,0.01810785514457543
2010-05-13,0.0061378943357008504
2010-05-14,0.005903227655097084
2010-05-17,0.024531524929866745
2010-05-18,0.006252030684851981
2010-05-19,0.022344947054824506
2010-05-20,0.042075284789873546
2010-05-21,0.02942482511985111
2010-05-24,0.029663914590437008
2010-05-25,0.027454691897060717
2010-05-26,0.024944275674117937
2010-05-27,0.04977739075036627
2010-05-28,0.030293473114039144
2010-06-01,-0.0029865712131631663
2010-06-02,0.009485727267939448
2010-06-03,0.027481268769248213
2010-06-04,0.0036792144515917363
2010-06-07,0.01900086824582807
2010-06-08,0.033836930831021954
2010-06-09,0.022969455099338832
2010-06-10,0.01824403585299117
2010-06-11,0.026547524319360145
2010-06-14,0.0051434382651089315
2010-06-15,0.0359729647148029
2010-06-16,0.019681674990474397
2010-06-17,0.0425583823356053
2010-06-18,0.026607485966666504
2010-06-21,0.0400503955237465
2010-06-22,0.01957475400890115
2010-06-23,0.01761162092550011
2010-06-24,0.017145631051956715
2010-06-25,0.030190956139776806
2010-06-28,0.008011824902112342
2010-06-29,0.03629945398992242
2010-06-30,0.017543514624447632
2010-07-02,0.012675342202769193
2010-07-07,0.025111388495912847
2010-07-08,0.02916115472866887
2010-07-09,0.03864080496440583
2010-07-12,0.024265752241669405
2010-07-13,0.011036926430151538
2010-07-14,0.03404428726569804
2010-07-15,0.21859791161888378
2010-07-16,0.031638265665025075
2010-07-19,0.0156546948497712
2010-07-20,0.03175708538204845
2010-07-21,0.022194088650832902
2010-07-22,0.0036641698539071864
2010-07-23,0.023446296495443532
2010-07-26,0.008336931764758946
2010-07-27,0.0012925376160730963
2010-07-28,0.015401120348463105
2010-07-29,0.017639415459499957
2010-07-30,0.01592145896228451
2010-08-02,0.006751488478870348
2010-08-03,0.016018499759483315
2010-08-04,0.021236761142453882
2010-08-05,0.02498037762430825
2010-08-06,0.004134268557876502
2010-08-09,0.018839911179979192
2010-08-10,0.007574322972112874
2010-08-11,0.02260121825723844
2010-08-12,0.009585793747078176
2010-08-13,0.008983189218243473
2010-08-16,0.04573869096309728
2010-08-17,0.026553184722723788
2010-08-18,0.020305778293557876
2010-08-19,0.02259719546260104
2010-08-20,0.009359309677080659
2010-08-23,0.012790869718888327
2010-08-24,0.025788904232890836
2010-08-25,0.038551476162524884
2010-08-26,0.016886447134500823
2010-08-27,0.03401691146034239
2010-08-30,0.03829958364209762
2010-08-31,0.025846946317009165
2010-09-01,0.0313828566600894
2010-09-02,0.03656892663316716
2010-09-03,0.015269391525705264
2010-09-07,0.0008916858406447007
2010-09-08,-0.0011712979702051644
2010-09-09,0.008796631265214277
2010-09-10,0.018348485247822413
2010-09-13,0.028760111670774295
2010-09-14,0.014787140027150394
2010-09-15,0.012219510624069587
2010-09-16,0.030856812096533372
2010-09-17,0.015981340256753962
2010-09-20,0.06986448602861506
2010-09-21,-0.0015732581218715958
2010-09-22,0.005718016773498822
2010-09-23,0.015628291727636478
2010-09-24,0.061045746280378926
2010-09-27,0.05026853862301653
2010-09-28,0.026006563900814055
2010-09-29,-0.002523428090980676
2010-09-30,0.016862298362706515
2010-10-01,0.07911058890529507
2010-10-04,0.015715567973641625
2010-10-05,0.04161223742965655
2010-10-06,0.0037164589156252264
2010-10-07,0.02173476718672649
2010-10-08,0.028910090237093577
2010-10-11,0.019000518975254836
2010-10-12,0.013867245109806293
2010-10-13,-0.007579002507374385
2010-10-14,0.003850540376336584
2010-10-15,0.005516445332323623
2010-10-18,0.0027269723683471013
2010-10-19,0.006116008629075773
2010-10-20,0.006379666022087316
2010-10-21,0.001084122815544544
2010-10-22,0.05250980647547947
2010-10-25,0.0027237887238584254
2010-10-26,0.0018377647398782034
2010-10-27,0.0015546271193945574
2010-10-28,0.003146232026172274
2010-10-29,0.0005989209916853768
2010-11-01,0.0016196940389928806
2010-11-02,0.0032984699573955136
2010-11-03,0.04236945060399425
2010-11-04,0.012639728919312917
2010-11-05,0.04468983889352138
2010-11-08,0.0013306822700078816
2010-11-09,0.0012040003082512483
2010-11-10,0.01565252155139395
2010-11-11,0.023686495183360707
2010-11-12,0.009038150926885308
2010-11-15,0.024672567074569544
2010-11-16,0.009675313144438546
2010-11-17,0.01621061751900378
2010-11-18,0.019822036685398052
2010-11-19,0.015258629123468977
2010-11-22,0.016495236016259927
2010-11-23,0.018125595092008857
2010-11-24,0.03305164342270608
2010-11-26,0.15424827560527818
2010-11-29,0.01727164891444022
2010-11-30,0.023747481552033774
2010-12-01,0.031861814364789784
2010-12-02,0.01836465406633707
2010-12-03,0.0016531108669489009
2010-12-06,0.037146428794823695
2010-12-07,0.004208477296785816
2010-12-08,0.0420776919991199
2010-12-09,0.001781690610155391
2010-12-10,0.00336777798762362
2010-12-13,0.04103000413467432
2010-12-14,0.015976372938329538
2010-12-15,0.012875144570642795
2010-12-16,0.04479905645889187
2010-12-17,0.025100480634778953
2010-12-20,0.02191585658902076
2010-12-21,0.0026653070841965417
2010-12-22,0.022131068461749958
2010-12-23,0.011678169887102118
2010-12-27,0.003485613058678968
2010-12-28,0.0028107871770881336
2010-12-29,0.04957303324911473
2010-12-30,-0.0002286877784776975
2010-12-31,0.005176237362320184
